Epoch,Weight 0,Weight 1,Weight 2,L_rate,Error
0,-0.700,-0.200,-0.900,0.6,2.0
1,-0.100,-0.200,-0.900,0.6,1.0
2,-0.100,-0.800,-0.900,0.6,2.0
3,0.500,-0.800,-0.900,0.6,1.0
4,0.500,-0.800,-0.900,0.6,0.0
5,0.500,-0.800,-0.900,0.6,0.0
6,0.500,-0.800,-0.900,0.6,0.0
7,0.500,-0.800,-0.900,0.6,0.0
8,0.500,-0.800,-0.900,0.6,0.0
9,0.500,-0.800,-0.900,0.6,0.0
10,0.500,-0.800,-0.900,0.6,0.0
11,0.500,-0.800,-0.900,0.6,0.0
12,0.500,-0.800,-0.900,0.6,0.0
13,0.500,-0.800,-0.900,0.6,0.0
14,0.500,-0.800,-0.900,0.6,0.0
